Name,Tier,Class,Card Type,Mana Cost,Rarity,Set,Tribe/School,Mechanic
Vitality Totem,League 5,Shaman,Minion,2,Rare,Goblins v Gnomes,Totem,Health
Drygulch Jailor,League 4,Paladin,Minion,2,Common,Kobolds and Catacombs,"None, Silver Hand Recruit",Deathrattle
City Tax,League 3,Paladin,Spell,2,Common,United in Stormwind,None,
Medivh's Valet,League 2,Mage,Minion,2,Common,One Night in Karazhan,None,"Battlecry, Deal Damage, Secret"
Heroic Strike,League 5,Warrior,Spell,2,Common,Legacy,None,Hero Attack
Ancestral Spirit,League 3,Shaman,Spell,2,Rare,Legacy,None,
Sap,League 3,Rogue,Spell,2,Common,Legacy,None,
Crystalsmith Kangor,League 4,Paladin,Minion,2,Legendary,Boomsday Project,None,"Divine Shield, Health"
Frostwolf Grunt,League 5,Neutral,Minion,2,Common,Legacy,None,Taunt
Crabrider,League 2,Neutral,Minion,2,Common,Madness at the Darkmoon Faire,Murloc,"Rush, Windfury"
Kor'vas Bloodthorn,League 4,Demon Hunter,Minion,2,Legendary,Legacy,None,"Charge, Health, Outcast"
Tuskarr Fisherman,League 5,Neutral,Minion,2,Common,Knights of the Frozen Throne,Undead,"Battlecry, Spell Damage"
Multi-Strike,League 3,Demon Hunter,Spell,2,Rare,Voyage to the Sunken City,Fel,
Youthful Brewmaster,League 4,Neutral,Minion,2,Common,Legacy,None,Battlecry
Rune Dagger,League 4,Shaman,Weapon,2,Common,Scholomance Academy,None,"Hero Attack, Spell Damage"
Scorp-o-matic,League 5,Neutral,Minion,2,Rare,Kobolds and Catacombs,Mech,"Battlecry, Removal"
Dirty Tricks,League 3,Rogue,Spell,2,Common,Ashes of Outland,None,"Draw, Secret"
Trench Surveyor,League 4,Mage,Minion,2,Rare,Voyage to the Sunken City,Mech,"Battlecry, Draw, Dredge, Tutor"
Tainted Zealot,League 5,Neutral,Minion,2,Common,Knights of the Frozen Throne,Undead,"Divine Shield, Spell Damage"
Argent Protector,League 5,Paladin,Minion,2,Common,"Core, Legacy",None,"Battlecry, Divine Shield"
Bonechewer Brawler,League 5,Neutral,Minion,2,Common,Ashes of Outland,None,Taunt
Hobart Grapplehammer,League 5,Warrior,Minion,2,Legendary,Mean Streets of Gadgetzan,None,"Battlecry, Weapon"
Sound the Bells!,League 5,Paladin,Spell,2,Common,The Witchwood,None,"Buff, Echo"
Stolen Goods,League 5,Warrior,Spell,2,Rare,Mean Streets of Gadgetzan,None,"Buff, Taunt"
Midway Maniac,League 5,Warlock,Minion,2,Common,Madness at the Darkmoon Faire,Demon,Taunt
Spirit Poacher,League 3,Hunter,Minion,2,Rare,Murder at Castle Nathria,"Beast, None",
Armorsmith,League 3,Warrior,Minion,2,Rare,Legacy,None,
Rainbow Glowscale,League 5,Neutral,Minion,2,Common,Voyage to the Sunken City,Naga,Spell Damage
Ignite,League 3,Mage,Spell,2,Epic,United in Stormwind,Fire,
Composting,League 3,Druid,Spell,2,Epic,United in Stormwind,Nature,"Deathrattle, Draw"
Undercity Huckster,League 4,Rogue,Minion,2,Rare,Whispers of the Old Gods,Undead,"Deathrattle, Thief"
Stage Hand,League 5,Warrior,Minion,2,Common,Madness at the Darkmoon Faire,Mech,"Battlecry, Buff"
Deathmatch Pavilion,League 5,Shaman,Spell,2,Epic,Madness at the Darkmoon Faire,None,"Hero Attack, Summon"
Man-at-Arms,League 5,Warrior,Minion,2,Common,Forged in the Barrens,None,"Battlecry, Weapon"
Thorngrowth Sentries,League 4,Druid,Spell,2,Common,Forged in the Barrens,"Beast, Nature","Summon, Taunt"
Bulk Up,League 4,Warrior,Spell,2,Common,Forged in the Barrens,None,"Buff, Taunt"
Anodized Robo Cub,League 5,Druid,Minion,2,Common,Goblins v Gnomes,Mech,"Choose One, Taunt"
Pint-Sized Summoner,League 5,Neutral,Minion,2,Rare,Legacy,None,Mana
Wrath,League 4,Druid,Spell,2,Common,"Core, Legacy",Nature,"Choose One, Deal Damage, Draw"
Potion Belt,League 3,Rogue,Spell,2,Rare,March of the Lich king,None,
King's Elekk,League 5,Hunter,Minion,2,Common,The Grand Tournament,Beast,"Battlecry, Draw"
Ancestral Knowledge,League 3,Shaman,Spell,2,Common,"Core, The Grand Tournament",None,"Draw, Overload"
Lance Carrier,League 5,Neutral,Minion,2,Common,The Grand Tournament,None,"Battlecry, Buff"
"E.T.C., God of Metal",League 5,Warrior,Minion,2,Legendary,Madness at the Darkmoon Faire,None,"Deal Damage, Rush"
Prismatic Elemental,League 2,Mage,Minion,2,Epic,March of the Lich king,Elemental,
Bladed Gauntlet,League 4,Warrior,Weapon,2,Epic,Kobolds and Catacombs,None,Armor
Murgur Murgurgle,League 3,Paladin,Minion,2,Legendary,Ashes of Outland,"Mech, Murloc",
Soul of the Murloc,League 5,Shaman,Spell,2,Common,Rise of Shadows,"Murloc, None","Buff, Deathrattle, Summon"
Cruel Taskmaster,League 4,Warrior,Minion,2,Common,"Core, Legacy",None,"Battlecry, Buff, Deal Damage"
Pack Tactics,League 4,Hunter,Spell,2,Rare,Ashes of Outland,None,"Secret, Summon"
Beckoner of Evil,League 4,Neutral,Minion,2,Common,Whispers of the Old Gods,None,"Battlecry, C'thun"
Mind Blast,League 2,Priest,Spell,2,Common,Legacy,Shadow,
Corporal,League 5,Neutral,Minion,2,Common,Fractured in Alterac Valley,None,Divine Shield
Sharkfin Fan,League 4,Neutral,Minion,2,Common,Rastakhan's Rumble,Pirate,"Hero Attack, Summon"
Revenge,League 5,Warrior,Spell,2,Rare,Blackrock Mountain,None,Deal Damage
Gibberling,League 5,Druid,Minion,2,Common,Scholomance Academy,None,Summon
Golakka Crawler,League 4,Neutral,Minion,2,Rare,Journey to Un'goro,Beast,"Battlecry, Disruption, Removal"
Shadow Word: Pain,League 3,Priest,Spell,2,Common,Legacy,Shadow,
Shadow Word: Death,League 2,Priest,Spell,2,Common,"Core, Legacy",Shadow,
SECURITY!!,Suspect Test,Demon Hunter,Spell,2,Common,Festival of Legends,None,"Outcast, Rush, Summon"
Lorewalker Cho,League 5,Neutral,Minion,2,Legendary,Legacy,None,
Inkveil Ambusher,League 5,Rogue,Minion,2,Rare,Voyage to the Sunken City,Naga,Stealth
Argent Braggart,League 5,Paladin,Minion,2,Epic,Scholomance Academy,None,Battlecry
Woodcutter's Axe,"League 5, Suspect Test",Warrior,Weapon,2,Common,"Core, The Witchwood",None,"Buff, Deathrattle, Rush"
Radiant Elemental,League 3,Priest,Minion,2,Common,Journey to Un'goro,Elemental,
Divine Hymn,League 5,Priest,Spell,2,Common,The Witchwood,Holy,Health
Rebuke,League 3,Paladin,Spell,2,Common,The Witchwood,None,
Vast Wisdom,League 2,Mage,Spell,2,Rare,March of the Lich king,None,
Bear Trap,League 4,Hunter,Spell,2,Common,The Grand Tournament,"Beast, None","Secret, Summon, Taunt"
Horrendous Growth,League 5,Neutral,Minion,2,Epic,Madness at the Darkmoon Faire,None,
Trick Totem,League 4,"Mage, Shaman",Minion,2,Rare,Scholomance Academy,Totem,
Kobold Geomancer,League 5,Neutral,Minion,2,Common,Legacy,None,Spell Damage
Nerubian Egg,League 5,Neutral,Minion,2,Rare,Curse of Naxxramas,None,"Deathrattle, Summon"
Explosive Evolution,League 4,Shaman,Spell,2,Common,Descent of Dragons,Nature,Evolve
Razorboar,League 5,Demon Hunter,Minion,2,Common,Forged in the Barrens,Beast,"Deathrattle, Summon"
Fallen Sun Cleric,League 5,Neutral,Minion,2,Common,Knights of the Frozen Throne,Undead,"Battlecry, Buff"
Fire Plume Harbinger,League 4,Shaman,Minion,2,Rare,Journey to Un'goro,Elemental,"Battlecry, Mana"
Solar Eclipse,League 2,Druid,Spell,2,Common,"Core, Madness at the Darkmoon Faire",Nature,
Insight,League 2,Priest,Spell,2,Common,Madness at the Darkmoon Faire,Shadow,
Sethekk Veilweaver,League 4,Priest,Minion,2,Epic,Ashes of Outland,None,Buff
Chum Bucket,League 4,Warlock,Spell,2,Epic,Voyage to the Sunken City,"Murloc, None",Buff
Volatile Skeleton,League 5,Neutral,Minion,2,Common,Murder at Castle Nathria,"None, Volatile Skeleton","Deal Damage, Deathrattle"
Holy Ripple,League 4,Priest,Spell,2,Rare,Saviours of Uldum,Holy,"Deal Damage, Health"
Soldier's Caravan,League 4,Paladin,Minion,2,Rare,Forged in the Barrens,"None, Silver Hand Recruit",Summon
Omega Mind,League 5,Shaman,Minion,2,Epic,Boomsday Project,None,"Battlecry, Health"
Spellbook Binder,League 5,Neutral,Minion,2,Common,Rise of Shadows,None,"Battlecry, Draw, Spell Damage"
Sweet Tooth,League 5,Rogue,Minion,2,Common,Madness at the Darkmoon Faire,None,Stealth
Sandstorm Elemental,League 3,Shaman,Minion,2,Common,Saviours of Uldum,Elemental,
Goblin Auto-Barber,League 5,Rogue,Minion,2,Common,Goblins v Gnomes,Mech,"Battlecry, Weapon"
Keen Reflex,League 5,Demon Hunter,Spell,2,Common,Fractured in Alterac Valley,None,"Deathrattle, Hero Attack"
Stonesplinter Trogg,League 5,Neutral,Minion,2,Common,Goblins v Gnomes,None,
Serrated Bone Spike,League 2,Rogue,Spell,2,Rare,Murder at Castle Nathria,None,
Lava Shock,League 4,Shaman,Spell,2,Rare,Blackrock Mountain,Fire,"Deal Damage, Overload"
Unstable Shadow Blast,League 3,Warlock,Spell,2,Common,Forged in the Barrens,Shadow,
Razormane Battleguard,"League 5, Suspect Test",Druid,Minion,2,Rare,Forged in the Barrens,Quilboar,"Mana, Taunt"
Mark of Scorn,League 3,Demon Hunter,Spell,2,Common,March of the Lich king,None,
Vile Library,League 3,Warlock,Location,2,Rare,Murder at Castle Nathria,"Imp, None",Buff
Vitality Surge,League 3,Paladin,Spell,2,Common,Fractured in Alterac Valley,Holy,
Crushing Hand,League 5,Shaman,Spell,2,Common,Kobolds and Catacombs,None,"Deal Damage, Overload"
Man the Cannons,League 3,Warrior,Spell,2,Common,United in Stormwind,None,
Trogg Beastrager,League 5,Hunter,Minion,2,Rare,Mean Streets of Gadgetzan,"Beast, None","Battlecry, Buff"
Fogsail Freebooter,League 3,Neutral,Minion,2,Rare,Core,Pirate,"Battlecry, Deal Damage, Weapon"
Kobold Sandtrooper,League 5,Neutral,Minion,2,Common,Saviours of Uldum,None,"Deal Damage, Deathrattle"
Magic Dart Frog,League 5,Mage,Minion,2,Common,Rise of Shadows,Beast,Deal Damage
Elementary Reaction,League 4,Shaman,Spell,2,Common,Boomsday Project,"Elemental, Nature",Draw
Soothsayer's Caravan,League 4,Priest,Minion,2,Rare,Forged in the Barrens,None,Thief
Swindle,League 2,Rogue,Spell,2,Common,Madness at the Darkmoon Faire,None,
Harbinger of Winter,League 3,Death Knight,Minion,2,Common,Core,"Frost, FrostRune, Undead","Deathrattle, Draw, Tutor"
Game Master,League 4,Mage,Minion,2,Common,Madness at the Darkmoon Faire,None,Secret
Darnassus Aspirant,League 5,Druid,Minion,2,Rare,The Grand Tournament,None,"Battlecry, Deathrattle, Mana"
Jade Claws,League 4,Shaman,Weapon,2,Rare,Mean Streets of Gadgetzan,None,"Battlecry, Jade, Overload, Summon"
Living Seed (Rank 1),League 4,Druid,Spell,2,Rare,Forged in the Barrens,"Beast, Nature","Draw, Mana"
Anonymous Informant,"League 4, Mage League 2",Neutral,Minion,2,Common,Murder at Castle Nathria,None,"Battlecry, Secret"
Galvanizer,League 3,Neutral,Minion,2,Rare,Boomsday Project,Mech,"Battlecry, Mana"
Open the Cages,League 5,Hunter,Spell,2,Common,Madness at the Darkmoon Faire,"Beast, None","Secret, Summon"
Defile,League 2,Warlock,Spell,2,Rare,"Core, Knights of the Frozen Throne",Shadow,Deal Damage
Blood Tap,League 4,Death Knight,Spell,2,Rare,Path of Arthas,"BloodRune, Shadow","Buff, Corpse"
Seance,League 2,Priest,Spell,2,Common,Rastakhan's Rumble,Shadow,
Dead Ringer,League 3,Priest,Minion,2,Common,Boomsday Project,"Mech, Undead",
Shadow Visions,League 1,Priest,Spell,2,Epic,Journey to Un'goro,Shadow,
Puddlestomper,League 5,Neutral,Minion,2,Common,Goblins v Gnomes,Murloc,
Cavern Shinyfinder,League 2,Rogue,Minion,2,Common,Kobolds and Catacombs,None,
Lesser Pearl Spellstone,League 5,Paladin,Spell,2,Rare,Kobolds and Catacombs,"Holy, Undead","Health, Summon, Taunt"
Lushwater Scout,League 3,Neutral,Minion,2,Common,Forged in the Barrens,Murloc,"Buff, Rush"
Revenge of the Wild,League 5,Hunter,Spell,2,Rare,Rastakhan's Rumble,"Beast, None","Resurrect, Summon"
Dreamway Guardians,League 5,Druid,Spell,2,Rare,Rise of Shadows,None,"Health, Summon"
Questing Explorer,League 5,Neutral,Minion,2,Rare,Saviours of Uldum,None,"Battlecry, Draw, Quest"
Patient Assassin,League 5,Rogue,Minion,2,Epic,Legacy,None,"Poisonous, Stealth"
Perpetual Flame,League 3,Shaman,Spell,2,Rare,Forged in the Barrens,Fire,
Earthen Scales,League 2,Druid,Spell,2,Rare,Journey to Un'goro,Nature,"Armor, Buff"
Seafloor Savior,League 3,Paladin,Minion,2,Common,Voyage to the Sunken City,Mech,
Phase Stalker,League 3,Hunter,Minion,2,Rare,Descent of Dragons,Beast,"Hero Power, Secret"
Spellcoiler,League 3,Mage,Minion,2,Common,Voyage to the Sunken City,Naga,
Razorpetal Volley,League 4,Rogue,Spell,2,Common,Journey to Un'goro,Nature,Deal Damage
Flash of Light,League 3,Paladin,Spell,2,Common,"Core, Rastakhan's Rumble",Holy,
Temple Berserker,League 4,Neutral,Minion,2,Common,Saviours of Uldum,Undead,Reborn
Keeper Stalladris,League 5,Druid,Minion,2,Legendary,Rise of Shadows,None,Choose One
Fan of Knives,League 4,Rogue,Spell,2,Common,"Core, Legacy",None,"Deal Damage, Draw"
Loot Hoarder,League 4,Neutral,Minion,2,Common,Legacy,None,"Deathrattle, Draw"
Queen of Pain,League 5,Warlock,Minion,2,Rare,Goblins v Gnomes,Demon,Health
Prestor's Pyromancer,League 5,Mage,Minion,2,Common,United in Stormwind,"Fire, None","Battlecry, Spell Damage"
Expired Merchant,League 1,Warlock,Minion,2,Rare,Saviours of Uldum,Undead,
Mark of the Spikeshell,League 4,Druid,Spell,2,Rare,Forged in the Barrens,Nature,"Buff, Taunt"
Hydrologist,League 4,Paladin,Minion,2,Common,Journey to Un'goro,Murloc,"Battlecry, Discover, Secret"
Shieldbreaker,League 5,Neutral,Minion,2,Rare,Rastakhan's Rumble,None,"Battlecry, Silence, Taunt"
Murloc Tidehunter,League 5,Neutral,Minion,2,Common,Legacy,Murloc,"Battlecry, Summon"
Grimestreet Outfitter,League 5,Paladin,Minion,2,Common,"Core, Mean Streets of Gadgetzan",None,"Battlecry, Buff"
Quicksand Elemental,League 5,Neutral,Minion,2,Rare,Saviours of Uldum,Elemental,"Battlecry, Disruption"
Sigil of Flame,League 4,Demon Hunter,Spell,2,Epic,Forged in the Barrens,Fel,"Deal Damage, Sigil"
Double Cross,League 3,Rogue,Spell,2,Common,Murder at Castle Nathria,None,"Draw, Secret"
Neferset Ritualist,League 5,Neutral,Minion,2,Rare,Saviours of Uldum,None,"Battlecry, Health"
Silvermoon Farstrider,League 4,Hunter,Minion,2,Rare,March of the Lich king,"Arcane, None","Battlecry, Spell Damage"
Frozen Buckler,League 2,Warrior,Spell,2,Epic,Fractured in Alterac Valley,Frost,
Ravasaur Runt,League 5,Neutral,Minion,2,Common,Journey to Un'goro,Beast,Battlecry
Murder Accusation,League 4,Rogue,Spell,2,Common,Murder at Castle Nathria,None,Removal
Mana Reservoir,League 5,Neutral,Minion,2,Common,Rise of Shadows,Elemental,Spell Damage
Alexstrasza's Champion,League 3,Warrior,Minion,2,Rare,The Grand Tournament,"Dragon, None",
Vicious Scraphound,League 5,Warrior,Minion,2,Common,Rise of Shadows,"Beast, Mech",Armor
Primordial Glyph,League 2,Mage,Spell,2,Epic,Journey to Un'goro,Arcane,
Mysterious Blade,League 5,Paladin,Weapon,2,Rare,Rise of Shadows,None,"Battlecry, Secret"
Pompous Thespian,League 5,Neutral,Minion,2,Common,One Night in Karazhan,None,Taunt
Shadow Clone,League 4,Rogue,Spell,2,Rare,Madness at the Darkmoon Faire,Shadow,"Secret, Stealth, Summon"
Prize Vendor,League 4,Neutral,Minion,2,Common,Madness at the Darkmoon Faire,Murloc,"Battlecry, Draw"
Confuse,League 5,Priest,Spell,2,Epic,The Grand Tournament,Shadow,
Devolve,League 1,Shaman,Spell,2,Rare,Mean Streets of Gadgetzan,Nature,
Bolner Hammerbeak,League 2,Shaman,Minion,2,Legendary,United in Stormwind,None,
Huge Toad,League 5,Neutral,Minion,2,Common,League of Explorers,Beast,"Deal Damage, Deathrattle"
Renounce Darkness,League 4,Warlock,Spell,2,Epic,Whispers of the Old Gods,Holy,Hero Power
A Light in the Darkness,League 5,Paladin,Spell,2,Common,Whispers of the Old Gods,Holy,Discover
Serpent Egg,League 5,Neutral,Minion,2,Common,Saviours of Uldum,"Beast, None","Deathrattle, Summon"
Jerry Rig Carpenter,League 3,Druid,Minion,2,Rare,United in Stormwind,Pirate,"Battlecry, Choose One, Draw"
Stormforged Axe,League 5,Shaman,Weapon,2,Common,Legacy,None,Overload
Earthen Might,League 4,Shaman,Spell,2,Rare,The Witchwood,"Elemental, Nature",Buff
Waxmancy,League 4,Rogue,Spell,2,Common,Descent of Dragons,None,"Battlecry, Discover"
Great Hall,League 3,Paladin,Location,2,Rare,Murder at Castle Nathria,None,
Libram of Wisdom,League 4,Paladin,Spell,2,Rare,Ashes of Outland,Holy,"Buff, Deathrattle, Libram"
Emergency Maneuvers,League 4,Hunter,Spell,2,Epic,Voyage to the Sunken City,None,"Resurrect, Secret, Summon"
Volcanomancy,League 4,Mage,Spell,2,Epic,Voyage to the Sunken City,Fire,Deal Damage
Dwarven Archaeologist,League 5,Neutral,Minion,2,Epic,Saviours of Uldum,None,Mana
Immortal Prelate,League 4,Paladin,Minion,2,Epic,Rastakhan's Rumble,None,Deathrattle
Tiny Knight of Evil,League 2,Warlock,Minion,2,Rare,The Grand Tournament,"Demon, Imp",Discard
Grimestreet Informant,League 5,"Hunter, Paladin, Warrior",Minion,2,Rare,Mean Streets of Gadgetzan,None,"Battlecry, Discover"
Defrost,League 3,Death Knight,Spell,2,Rare,Core,"Frost, FrostRune","Corpse, Draw"
Stolen Steel,League 4,Rogue,Spell,2,Common,Rastakhan's Rumble,None,"Discover, Thief, Weapon"
Call Pet,"League 4, Suspect Test",Hunter,Spell,2,Rare,Goblins v Gnomes,"Beast, None","Draw, Mana"
Solid Alibi,League 2,Mage,Spell,2,Epic,Murder at Castle Nathria,Frost,
Scarab Egg,League 5,Neutral,Minion,2,Common,Rastakhan's Rumble,"Beast, None","Deathrattle, Summon"
Plague Strike,League 2,Death Knight,Spell,2,Common,Path of Arthas,"Shadow, Undead, UnholyRune","Deal Damage, Rush, Spell Damage"
Grandmummy,League 5,Priest,Minion,2,Rare,Saviours of Uldum,Undead,"Buff, Deathrattle, Reborn"
Cram Session,League 4,Mage,Spell,2,Rare,Scholomance Academy,Arcane,"Draw, Spell Damage"
Ice Fishing,League 2,Shaman,Spell,2,Common,Knights of the Frozen Throne,"Frost, Murloc",
Plagiarize,League 3,Rogue,Spell,2,Common,"Core, Scholomance Academy",None,"Secret, Thief"
Unstable Portal,League 4,Mage,Spell,2,Rare,Goblins v Gnomes,Arcane,Mana
Submerged Spacerock,League 4,Mage,Minion,2,Rare,Voyage to the Sunken City,"Arcane, Elemental",Deathrattle
Deck of Lunacy,League 3,Mage,Spell,2,Legendary,Madness at the Darkmoon Faire,None,
Confection Cyclone,League 4,Mage,Minion,2,Common,Madness at the Darkmoon Faire,Elemental,Battlecry
Explore Un'Goro,League 5,Warrior,Spell,2,Epic,Journey to Un'goro,None,Discover
Vrykul Necrolyte,League 3,Neutral,Minion,2,Common,March of the Lich king,Undead,"Battlecry, Deathrattle, Rush, Summon"
Shatter,League 5,Mage,Spell,2,Common,Whispers of the Old Gods,Frost,Freeze
Bring It On!,League 5,Warrior,Spell,2,Epic,Knights of the Frozen Throne,None,Armor
Snack Run,League 4,Paladin,Spell,2,Rare,Madness at the Darkmoon Faire,None,"Discover, Health"
Annoy-o-Tron,League 3,Neutral,Minion,2,Common,Goblins v Gnomes,Mech,"Divine Shield, Taunt"
Novice Engineer,League 4,Neutral,Minion,2,Common,Legacy,None,"Battlecry, Draw"
Spirit Lash,League 2,Priest,Spell,2,Common,Knights of the Frozen Throne,Shadow,
Faerie Dragon,League 4,Neutral,Minion,2,Common,Legacy,Dragon,
Steamwheedle Sniper,League 5,Hunter,Minion,2,Epic,Goblins v Gnomes,None,Hero Power
Lushwater Murcenary,League 4,Neutral,Minion,2,Common,Forged in the Barrens,Murloc,Battlecry
Cheat Death,League 3,Rogue,Spell,2,Common,"Core, Kobolds and Catacombs",None,"Mana, Secret"
Conjure Mana Biscuit,League 2,Mage,Spell,2,Common,Madness at the Darkmoon Faire,Arcane,
Ashtongue Slayer,League 5,Rogue,Minion,2,Rare,Ashes of Outland,None,"Battlecry, Buff, Stealth"
Micro Mummy,League 4,Paladin,Minion,2,Epic,Saviours of Uldum,"Mech, Undead","Buff, Reborn"
Umbral Geist,League 4,Neutral,Minion,2,Common,March of the Lich king,"Shadow, Undead",Deathrattle
Gilblin Stalker,League 5,Neutral,Minion,2,Common,Goblins v Gnomes,None,Stealth
Frenzied Fangs,League 3,Hunter,Minion,2,Common,Murder at Castle Nathria,"Beast, None",
Wandering Monster,League 3,Hunter,Spell,2,Rare,"Core, Kobolds and Catacombs","Beast, None","Secret, Summon"
Natural Causes,League 4,Druid,Spell,2,Common,Murder at Castle Nathria,"Nature, Treant","Deal Damage, Summon"
Snowchugger,League 4,Mage,Minion,2,Common,Goblins v Gnomes,Mech,Freeze
Dendrologist,League 5,Druid,Minion,2,Rare,Boomsday Project,"None, Treant","Battlecry, Discover"
Flamecannon,League 5,Mage,Spell,2,Common,Goblins v Gnomes,Fire,Deal Damage
Ghost Light Angler,League 5,Shaman,Minion,2,Common,The Witchwood,"Murloc, Undead",Echo
EVIL Genius,League 5,Warlock,Minion,2,Common,Rise of Shadows,None,"Battlecry, Lackey"
ZOMBEEEES!!!,League 3,Hunter,Spell,2,Common,March of the Lich king,"Beast, None, Undead","Deal Damage, Secret, Summon"
Cutpurse,League 5,Rogue,Minion,2,Rare,The Grand Tournament,Undead,Mana
Upgradeable Framebot,League 5,Neutral,Minion,2,Common,Boomsday Project,Mech,
Venomstrike Trap,League 5,Hunter,Spell,2,Rare,Knights of the Frozen Throne,"Beast, None","Poisonous, Secret, Summon"
Cagematch Custodian,League 2,Shaman,Minion,2,Common,Madness at the Darkmoon Faire,Elemental,
Underbelly Angler,League 3,Shaman,Minion,2,Rare,Rise of Shadows,Murloc,
Drain Soul,League 2,Warlock,Spell,2,Common,"Core, Knights of the Frozen Throne",Shadow,
Redband Wasp,League 5,Warrior,Minion,2,Rare,The Witchwood,Beast,Rush
Public Defender,League 5,Warrior,Minion,2,Common,Mean Streets of Gadgetzan,None,Taunt
Nether Breath,League 4,Warlock,Spell,2,Rare,Descent of Dragons,"Dragon, Fel","Deal Damage, Health"
Fallen Hero,League 5,Mage,Minion,2,Rare,The Grand Tournament,Undead,Hero Power
Tenwu of the Red Smoke,League 2,Rogue,Minion,2,Legendary,Madness at the Darkmoon Faire,None,
Wyrmrest Agent,League 5,Priest,Minion,2,Rare,The Grand Tournament,"Dragon, None","Battlecry, Taunt"
Crackle,League 2,Shaman,Spell,2,Common,Goblins v Gnomes,Nature,
Shadowjeweler Hanar,League 3,Rogue,Minion,2,Legendary,"Ashes of Outland, Core",None,"Discover, Secret, Thief"
Arcane Flakmage,League 2,Mage,Minion,2,Rare,Saviours of Uldum,None,"Deal Damage, Secret"
Starving Buzzard,League 3,Hunter,Minion,2,Common,Legacy,Beast,
Mark of Y'Shaarj,League 5,Druid,Spell,2,Common,Whispers of the Old Gods,"Beast, None","Buff, Draw"
Shotbot,League 4,Paladin,Minion,2,Common,Descent of Dragons,Mech,Reborn
Prince Keleseth,League 4,Neutral,Minion,2,Legendary,Knights of the Frozen Throne,None,"Battlecry, Buff"
Snakebite,Suspect Test,Demon Hunter,Minion,2,Rare,Festival of Legends,Naga,"Battlecry, Rush"
Sneaky Scout,League 5,Neutral,Minion,2,Common,Fractured in Alterac Valley,None,"Hero Power, Stealth"
Twilight Geomancer,League 4,Neutral,Minion,2,Common,Whispers of the Old Gods,None,"Battlecry, C'thun, Taunt"
Power Word: Feast,League 3,Priest,Spell,2,Rare,Scholomance Academy,None,
Windfury,League 2,Shaman,Spell,2,Common,Legacy,Nature,
Deeprun Engineer,League 4,Neutral,Minion,2,Common,United in Stormwind,"Mech, None","Battlecry, Discover, Mana"
Ring of Courage,League 4,Paladin,Spell,2,Common,Fractured in Alterac Valley,None,"Buff, Tradeable"
Dancing Cobra,League 5,Hunter,Minion,2,Common,Madness at the Darkmoon Faire,Beast,Poisonous
Subdue,League 5,Paladin,Spell,2,Common,Saviours of Uldum,None,Removal
Forsaken Lieutenant,"League 4, Suspect Test",Rogue,Minion,2,Epic,Fractured in Alterac Valley,Undead,"Deathrattle, Rush, Stealth"
Rotten Rodent,League 4,Rogue,Minion,2,Common,March of the Lich king,"Beast, Undead","Battlecry, Deathrattle, Mana"
Explosive Sheep,League 4,Neutral,Minion,2,Common,Goblins v Gnomes,Mech,"Deal Damage, Deathrattle"
Infected Peasant,League 3,Neutral,Minion,2,Common,March of the Lich king,"None, Undead","Deathrattle, Summon"
Belligerent Gnome,League 5,Neutral,Minion,2,Rare,Rastakhan's Rumble,None,"Battlecry, Taunt"
Bluegill Warrior,League 4,Neutral,Minion,2,Common,Legacy,Murloc,Charge
Redeemed Pariah,League 2,Demon Hunter,Minion,2,Common,Madness at the Darkmoon Faire,None,
Waterboy,League 5,Neutral,Minion,2,Rare,Rastakhan's Rumble,None,"Battlecry, Hero Power"
Rockpool Hunter,League 4,Neutral,Minion,2,Common,Journey to Un'goro,Murloc,"Battlecry, Buff"
Sightless Watcher,League 5,Demon Hunter,Minion,2,Rare,Legacy,Demon,Battlecry
Potion of Heroism,League 4,Paladin,Spell,2,Common,Kobolds and Catacombs,Holy,"Divine Shield, Draw"
Bomb Toss,League 4,Hunter,Spell,2,Common,Boomsday Project,"Mech, None","Deal Damage, Deathrattle, Summon"
Evasion,League 2,Rogue,,2,Epic,Kobolds and Catacombs,None,Secret
Sketchy Stranger,League 2,Neutral,Minion,2,Common,Murder at Castle Nathria,None,"Battlecry, Secret, Thief"
Breath of Dreams,League 3,Druid,Spell,2,Rare,Descent of Dragons,"Dragon, Nature","Draw, Mana"
Desperate Stand,League 4,Paladin,Spell,2,Rare,Knights of the Frozen Throne,Holy,"Buff, Deathrattle, Resurrect"
Wrathguard,League 5,Warlock,Minion,2,Common,The Grand Tournament,Demon,Deal Damage
Spirit of the Dragonhawk,League 4,Mage,Minion,2,Rare,Rastakhan's Rumble,None,"Hero Power, Stealth"
Astalor Bloodsworn,League 1,Neutral,Minion,2,Legendary,March of the Lich king,None,"Armor, Battlecry, Deal Damage"
Divine Spirit,League 3,Priest,Spell,2,Common,Legacy,Holy,
Cornered Sentry,League 4,Warrior,Minion,2,Rare,Journey to Un'goro,None,"Battlecry, Taunt"
Pick Pocket,League 5,Rogue,Spell,2,Rare,The Witchwood,None,"Echo, Thief"
Evasive Chimaera,League 5,Neutral,Minion,2,Common,Descent of Dragons,Beast,Poisonous
Murmuring Elemental,League 3,Shaman,Minion,2,Rare,Kobolds and Catacombs,Elemental,
Nerub'ar Weblord,League 2,Neutral,Minion,2,Common,Curse of Naxxramas,None,Disruption
Obsidiansmith,League 3,Warrior,Minion,2,Rare,Voyage to the Sunken City,Pirate,
